iter	Passed	Remaining
638	9014	47414
639	9029	47402
640	9042	47385
641	9057	47373
642	9072	47366
643	9086	47353
644	9101	47339
645	9113	47318
646	9127	47300
647	9142	47290
648	9156	47276
649	9169	47257
650	9184	47248
651	9198	47231
652	9212	47217
653	9226	47202
654	9239	47182
655	9253	47168
656	9268	47158
657	9281	47142
658	9294	47122
659	9307	47102
660	9322	47090
661	9336	47077
662	9349	47058
663	9363	47043
664	9377	47026
665	9390	47006
666	9403	46988
667	9416	46969
668	9429	46950
669	9442	46930
670	9457	46919
671	9470	46903
672	9484	46886
673	9498	46873
674	9513	46862
675	9527	46846
676	9541	46831
677	9554	46813
678	9569	46803
679	9582	46786
680	9596	46768
681	9610	46754
682	9623	46738
683	9636	46718
684	9650	46700
685	9665	46691
686	9678	46671
687	9692	46660
688	9706	46643
689	9720	46630
690	9733	46611
691	9746	46592
692	9760	46577
693	9773	46558
694	9789	46553
695	9804	46541
696	9817	46524
697	9832	46513
698	9845	46496
699	9859	46478
700	9873	46466
701	9887	46450
702	9901	46436
703	9915	46422
704	9929	46408
705	9942	46390
706	9957	46378
707	9969	46356
708	9983	46340
709	9997	46328
710	10011	46313
711	10033	46333
712	10047	46320
713	10062	46310
714	10076	46296
715	10089	46276
716	10102	46258
717	10116	46244
718	10130	46229
719	10144	46212
720	10158	46199
721	10172	46185
722	10185	46164
723	10199	46150
724	10213	46136
725	10228	46125
726	10242	46113
727	10256	46099
728	10270	46084
729	10283	46065
730	10297	46049
731	10311	46035
732	10324	46018
733	10337	45999
734	10351	45982
735	10366	45972
736	10380	45959
737	10394	45943
738	10407	45924
739	10421	45911
740	10436	45899
741	10448	45877
742	10463	45869
743	10478	45856
744	10491	45837
745	10503	45817
746	10518	45804
747	10532	45792
748	10545	45772
749	10559	45759
750	10573	45744
751	10588	45731
752	10602	45720
753	10618	45715
754	10634	45705
755	10647	45690
756	10662	45676
757	10676	45662
758	10689	45645
759	10704	45634
760	10717	45616
761	10732	45604
762	10746	45590
763	10760	45575
764	10774	45560
765	10787	45544
766	10801	45528
767	10815	45513
768	10828	45497
769	10841	45477
770	10855	45463
771	10869	45450
772	10882	45430
773	10897	45419
774	10910	45400
775	10923	45384
776	10938	45372
777	10952	45359
778	10965	45338
779	10978	45322
780	10991	45304
781	11006	45293
782	11019	45275
783	11033	45261
784	11047	45243
785	11061	45229
786	11074	45211
787	11088	45196
788	11102	45182
789	11116	45168
790	11129	45152
791	11142	45132
792	11156	45120
793	11170	45102
794	11183	45083
795	11197	45072
796	11211	45055
797	11225	45042
798	11238	45024
799	11252	45009
800	11265	44992
801	11279	44978
802	11293	44962
803	11307	44949
804	11320	44931
805	11334	44917
806	11348	44900
807	11361	44881
808	11374	44866
809	11388	44850
810	11403	44839
811	11417	44827
812	11430	44808
813	11443	44790
814	11456	44771
815	11471	44760
816	11484	44743
817	11499	44732
818	11513	44720
819	11527	44704
820	11542	44693
821	11556	44679
822	11570	44666
823	11584	44652
824	11599	44639
825	11613	44624
826	11627	44610
827	11639	44591
828	11654	44580
829	11668	44563
830	11681	44546
831	11695	44531
832	11708	44516
833	11722	44498
834	11735	44483
835	11749	44467
836	11764	44457
837	11778	44441
838	11791	44424
839	11804	44406
840	11817	44390
841	11832	44379
842	11846	44363
843	11859	44345
844	11872	44329
845	11888	44320
846	11900	44300
847	11913	44281
848	11927	44267
849	11940	44251
850	11954	44236
851	11969	44223
852	11982	44208
853	11995	44190
854	12009	44174
855	12023	44161
856	12036	44144
857	12050	44130
858	12065	44117
859	12078	44100
860	12093	44088
861	12107	44074
862	12121	44061
863	12134	44043
864	12148	44028
865	12161	44011
866	12174	43994
867	12188	43978
868	12201	43962
869	12215	43947
870	12230	43935
871	12242	43916
872	12256	43902
873	12270	43886
874	12283	43871
875	12297	43856
876	12312	43843
877	12325	43827
878	12339	43813
879	12352	43796
880	12365	43778
881	12379	43762
882	12391	43742
883	12405	43729
884	12420	43716
885	12433	43699
